,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
33,False,/cDVWsqsnGwIUqOSzAuDS0PIhNdW.jpg,"[18, 10749, 10402]",424277,en,Annette,"The story of Henry, a stand-up comedian with a fierce sense of humour and Ann, a singer of international renown. In the spotlight, they are the perfect couple, healthy, happy, and glamourous. The birth of their first child, Annette, a mysterious girl with an exceptional destiny, will change their lives.",168.57,/4FTnypxpGltJdIARrfFsP31pGTp.jpg,2021-07-06,Annette,False,7.1,292
34,False,/abG9ldrNqSEoguBsi9hmnjusJ0.jpg,"[18, 35, 878]",646380,en,Don't Look Up,Two astronomers go on a media tour to warn humankind of a planet-killing comet hurtling toward Earth. The response from a distracted world: Meh.,111.475,/5SkzM3TPpt72FoO46NSjipNXkNG.jpg,2021-12-07,Don't Look Up,False,8.9,11
35,False,/b8cduNIEf75tBSFXDwBJfNAQMFP.jpg,"[53, 80]",659940,da,Marco effekten,"When 14-year-old Marco, a homeless Romani boy, is arrested at the Danish border for possession of a missing public servant's passport, police inspector Carl Mørck and his Department Q team are tasked with finding the connection. The old case contains several suspicious elements: The public servant was accused of pedophilia shortly before he disappeared, and his case was closed unusually quickly. But the silent, traumatized Marco refuses to talk to them and it's not long before he's on the run from those who intend to kill him because of what he knows.",120.311,/fZNugFFV3xCNVR2Br4xGgfJil0Q.jpg,2021-05-27,The Marco Effect,False,7.0,14
36,False,/g6wufgtycJCP508tlC3crSYFCgC.jpg,"[37, 18]",749274,en,Cry Macho,"Mike Milo, a one-time rodeo star and washed-up horse breeder, takes a job from an ex-boss to bring the man's young son home from Mexico.",98.773,/bzJBmh8U5ofExJara4nrdqlW8f3.jpg,2021-09-16,Cry Macho,False,6.4,356
37,False,/r4VQbiydjDH7ULo1HWjkkrNt3da.jpg,"[10749, 18, 80]",511809,en,West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",80.181,/zeAZTPxV5xZRNEX3rZotnsp7IVo.jpg,2021-12-08,West Side Story,False,7.8,11
38,False,/nJYAAOk74VjPlwz34jWFh8MPw2r.jpg,"[27, 35, 18]",664574,en,Silent Night,"Nell, Simon, and their boy Art are ready to welcome friends and family for what promises to be a perfect Christmas gathering. Perfect except for one thing: everyone is going to die.",70.971,/bfUO1SBTfgcK77em3lOuRFY2uLc.jpg,2021-12-03,Silent Night,False,6.4,25
39,False,/ckCrunvxJ1SqL1w4goJGGGZ5PGP.jpg,"[18, 80, 53]",616651,en,Stillwater,"Bill Baker, an American oil-rig roughneck from Oklahoma, travels to Marseille to visit his estranged daughter, Allison, who is in prison for a murder she claims she did not commit. Confronted with language barriers, cultural differences, and a complicated legal system, Bill builds a new life for himself in France as he makes it his personal mission to exonerate his daughter.",78.493,/cPdmPwcIcmu0ugfKcdFtI3vmOJq.jpg,2021-07-29,Stillwater,False,6.9,395
40,False,/fStC0dSCRQslE9NzXa36EyOom81.jpg,[16],728754,ja,STAND BY ME ドラえもん2,"She and her beloved Shizuka are finally married! Nobita's childhood dream was supposed to come true on his wedding day, but for some reason, Nobita doesn't show up... One of the most popular episodes from the original story transcends time and space, and leads to Nobita's future. Doraemon and Nobita's great adventure begins in order to fulfill his grandmother's wish to see his bride at first sight. This is a story of tears and bonds, set in the past, present and future.",62.219,/mu5t94c8IZU781aMg1E1FKinYG2.jpg,2020-11-20,Stand by Me Doraemon 2,False,7.7,72
41,False,/2nJJxHjBTDVDIbpHylCsDVQ3alG.jpg,[18],716612,en,Spencer,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana decides to leave her marriage to Prince Charles.",69.776,/7GcqdBKaMM9BWXWN07BirBMkcBF.jpg,2021-11-04,Spencer,False,7.4,182
42,False,/x3UVh44oov4LGkAg2zVFXoPeYra.jpg,"[18, 53, 27]",630240,fr,Titane,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years.",72.774,/AeQC4gFwkIvjAwnSd2RPAlgs1VE.jpg,2021-07-14,Titane,False,6.7,392
