,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
43,False,/2nJJxHjBTDVDIbpHylCsDVQ3alG.jpg,"[18, 36]",716612,en,Spencer,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana decides to leave her marriage to Prince Charles.",35.099,/7GcqdBKaMM9BWXWN07BirBMkcBF.jpg,2021-11-05,Spencer,False,10.0,1
44,False,/sGIfwDYvfU0h1G7pGWEhdEi9hT2.jpg,"[9648, 80, 18]",567797,en,The Dry,Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.,19.673,/zM12bfL2TEqVRXjiQIFUWUMLcCg.jpg,2021-01-01,The Dry,False,6.9,182
45,False,/4kb7uR1UmXa33U6GB6F9xckFlhn.jpg,[18],614917,en,King Richard,"Richard Williams serves as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.",26.182,/qQl0QS5P15vVzUcaP8rAqxbQ6Wp.jpg,2021-11-18,King Richard,False,0.0,0
46,False,/99ELcYVIWtbNeP9qH4Ae6o3VAtn.jpg,"[18, 10749]",746131,fr,Les Olympiades,"Émilie meets Camille who is attracted to Nora, who crosses paths with Amber. Three girls and a boy – They’re friends, sometimes lovers and often both.",31.658,/qFnn1UkHguEnaKq9hW7fNRRm8EG.jpg,2021-11-03,"Paris, 13th District",False,6.7,3
47,False,/cDVWsqsnGwIUqOSzAuDS0PIhNdW.jpg,"[18, 10749, 10402]",424277,en,Annette,"The story of Henry, a stand-up comedian with a fierce sense of humour and Ann, a singer of international renown. In the spotlight, they are the perfect couple, healthy, happy, and glamourous. The birth of their first child, Annette, a mysterious girl with an exceptional destiny, will change their lives.",19.185,/4FTnypxpGltJdIARrfFsP31pGTp.jpg,2021-07-06,Annette,False,7.0,226
48,False,/lQ7OF8zoLMOh1rxL0iwWXr28jk0.jpg,[27],760919,en,The Power,"London, 1974. As Britain prepares for electrical blackouts to sweep across the country, trainee nurse Val arrives for her first day at the crumbling East London Royal Infirmary. With most of the patients and staff evacuated to another hospital, Val is forced to work the night shift, finding herself in a dark, near empty building. Within these walls lies a deadly secret, forcing Val to face both her own traumatic past and deepest fears.",15.958,/s0aVEjT1DWopUrJehACWZyqpO99.jpg,2021-06-03,The Power,False,5.1,22
49,False,/gYDASy7vz8eg0zcHyYevpkhwWGG.jpg,[18],567690,en,Dear Evan Hansen,"Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note.",19.367,/83pobg0tx4r4JeLenCAemanpnS2.jpg,2021-09-24,Dear Evan Hansen,False,6.8,52
50,False,/dmZfiaSvBoCMTdyUsEqGql4yqul.jpg,"[16, 18, 10749]",652837,ja,ジョゼと虎と魚たち,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",24.198,/z1D8xi9x4uEhyFruo7uEHXUMD4K.jpg,2020-12-25,"Josee, the Tiger and the Fish",False,8.7,135
51,False,,[10402],844043,fr,Si on chantait,"Franck just had the most crazy and wonderful idea for a company that would finally get him and his friends proper jobs. As Uber delivers food, Amazon daily items, Song Express will deliver songs. To your friends, or your loved one, or yourself, anywhere you want. It is brilliant, it is foolish, it could work… For Franck, Jean-Claude, Sophie and José, Song Express becomes something more than just a professional challenge: it is the dream of a lifetime.",27.468,/9X99HVkUsTB5ftfNvBUVeXl9Qba.jpg,2021-11-03,Song Express,False,5.3,3
52,False,,[],882038,ar,فرق خبرة,Experience Difference is Egyptian Film,26.919,/8PJJawZI4Y9I0G9aqrnsjMAPmCs.jpg,2021-11-03,Experience Difference,False,2.0,1
53,False,/uPspRqWtWhLFGkrW1Lkv3XFXxSG.jpg,[35],658287,it,Io sono Babbo Natale,"Ettore has spent the last five years in jail for a robbery. Once out of prison, he has nowhere to go, his wife broke up with him and doesn’t want him to meet their little daughter who was born right before he was arrested. Alone and desperate, Ettore roams the streets of Rome and meets a strange old man, Nicola. He decides to take advantage of him and rob him. But after breaking into his house, Ettore realizes Nicola doesn’t have anything worth to be stolen and furthermore, the old man tells him a rather stranger thing: he affirms to be Santa Claus…",25.813,/3Ku79kEy1BT2FYzePkr0HtA68AD.jpg,2021-11-03,I Am Santa Claus,False,2.0,1
